"S"	""
1	375
1	717
1	777
1	777
3	777
1	777
1	777
1	941
1	941
1	941
1	1006
2	1006
2	1006
3	1006
2	1006
3	1006
1	1006
1	806
1	806
2	806
3	806
4	806
5	806
1	806
1	806
3	806
5	806
1	806
6	806
1	806
7	806
2	891
1	891
3	978
1	978
2	978
1	978
8	978
1	978
6	978
2	971
1	971
3	971
4	971
1	971
1	971
4	971
1	971
2	971
3	971
1	971
1	971
1	1143
4	1143
2	1143
5	1143
2	1143
1	1143
1	1143
1	1143
1	1143
1	1143
1	1143
1	1143
3	1143
1	1143
1	1143
1	1143
3	1143
4	1143
1	1143
1	1143
9	1143
3	1143
1	1143
1	1143
1	1143
2	1143
1	1143
1	1143
2	1143
1	1143
3	1143
4	1143
2	1143
5	1143
1	1143
2	1143
2	1143
3	1143
1	1143
3	1143
2	1143
3	1143
1	1143
1	1143
2	1143
1	1143
1	1143
1	1143
1	1143
1	1143
1	1143
1	1143
1	1143
1	1143
1	1143
2	1143
1	1143
2	1143
2	1143
1	1143
3	1143
4	1143
6	1143
3	1143
3	1143
2	1143
3	1143
4	1143
5	1143
1	1143
4	1143
1	1143
1	1143
5	1143
6	1143
1	1143
1	1143
1	1143
4	1143
7	1143
8	1143
1	1143
1	1143
7	1143
1	1143
6	1143
7	1143
5	1143
1	991
1	991
3	991
1	991
2	991
1	991
2	991
1	991
4	991
1	991
2	991
2	991
4	991
5	991
1	991
1	991
1	991
1	991
2	991
2	991
1	991
2	991
1	991
1	991
1	991
1	991
9	991
2	991
1	991
1	991
1	991
4	991
2	991
2	991
10	991
11	991
1	991
3	991
4	991
3	991
4	991
1	991
1	991
1	991
1	991
1	991
1	991
1	991
1	991
2	991
1	991
2	991
2	991
12	991
1	991
1	991
1	991
2	991
1	998
1	998
1	998
1	998
1	998
3	998
1	998
1	998
6	998
1	998
2	998
1	998
11	998
1	998
1	998
12	998
1	998
4	998
5	998
1	998
1	998
1	998
1	998
2	998
3	998
2	998
1	998
1	998
1	998
2	998
2	998
1	998
12	998
6	998
7	998
1	998
3	998
2	998
2	998
3	998
6	998
1	998
3	998
1	998
3	998
1	998
1	998
1	998
2	998
2	998
3	998
4	998
4	998
1	998
1	998
1	998
2	998
8	998
1	998
2	998
3	998
2	998
3	998
2	998
1	998
8	998
4	998
5	998
1	998
4	998
1	998
2	998
9	998
1	998
1	1103
4	1103
1	1103
1	1103
6	1103
1	1103
7	1103
1	1103
3	1103
2	1103
3	1103
4	1103
1	1103
3	1103
4	1103
5	1103
4	1103
7	1103
4	1103
2	1103
9	1103
10	1103
12	1103
13	1103
6	1103
16	1103
17	1103
3	1103
1	1103
1	1103
3	1103
4	1103
5	1103
13	1103
2	1103
8	1103
1	1103
1	1103
1	1103
1	1103
9	1103
3	1103
1	1103
1	1103
1	1103
2	1103
1	1103
19	1103
20	1103
21	1103
3	1103
1	1103
1	1103
2	1103
1	1103
1	1103
6	1103
1	1103
1	1103
7	1103
2	1103
8	1103
3	1103
9	1103
2	1103
2	1103
3	1103
15	1103
2	1103
4	1103
3	1103
2	1103
2	1103
1	1103
1	1103
3	1103
1	1103
3	1103
2	1103
3	1103
2	1103
6	1103
22	1103
23	1103
1	1103
25	1103
1	1103
3	1103
10	1103
26	1103
5	1103
7	1103
1	1103
1	1103
1	1103
1	1103
4	1120
1	1120
1	1120
3	1120
28	1120
33	1120
34	1120
35	1120
37	1120
38	1120
39	1120
40	1120
5	1120
3	1120
1	1120
7	1120
7	1120
8	1120
6	1120
2	1120
5	1120
14	1120
15	1120
16	1120
1	1120
1	1120
1	1120
17	1120
1	1120
2	1120
1	1120
3	1120
2	1120
1	1120
2	1120
3	1120
4	1120
5	1120
3	1120
4	1120
18	1120
1	1120
1	1120
19	1120
2	1120
5	1120
2	1120
1	1120
2	1120
1	1120
2	1120
1	1120
9	1120
6	1120
1	1120
1	1120
1	1120
6	1120
7	1120
8	1120
9	1120
1	1120
2	1120
21	1120
3	1120
22	1120
3	1120
43	1120
4	1120
44	1120
1	1120
16	1120
1	1120
6	1120
11	1120
1	1063
4	1063
1	1063
1	1063
1	1063
1	1063
13	1063
17	1063
1	1063
9	1063
1	1063
6	1063
13	1063
1	1063
7	1063
8	1063
10	1063
1	1063
6	1063
1	1063
3	1063
1	1063
2	1063
1	1063
1	1063
2	1063
12	1063
1	1063
11	1063
2	1063
12	1063
14	1063
1	1063
1	1063
23	1063
2	1063
3	1063
48	1063
2	1063
3	1063
2	1063
1	1063
9	1063
2	1063
3	1063
9	1063
4	1063
6	1063
2	1063
2	1063
24	1063
10	1063
2	1063
11	1063
1	1063
13	1063
27	1063
2	1063
1	1063
7	1063
3	1063
9	1063
16	1063
18	1063
19	1063
29	1063
1	1063
3	1063
8	1063
5	1063
2	1063
7	1063
21	1063
22	1063
23	1063
7	1063
31	1124
7	1124
3	1124
5	1124
6	1124
2	1124
25	1124
26	1124
1	1124
2	1124
8	1124
1	1124
1	1124
2	1124
2	1124
3	1124
4	1124
10	1124
1	1124
2	1124
4	1124
1	1124
4	1124
2	1124
12	1124
1	1124
4	1124
14	1124
1	1124
1	1124
1	1124
1	1124
1	1124
1	1124
2	1124
2	1124
32	1124
4	1124
4	1124
2	1124
4	1124
9	1124
3	1124
8	1124
10	1124
3	1124
1	1124
3	1124
34	1124
1	1124
1	1124
7	1124
11	1124
11	1124
6	1124
7	1124
14	1124
15	1124
18	1124
1	1124
10	1124
2	1124
3	1124
11	1124
12	1124
13	1124
4	1124
5	1124
13	1124
10	1124
4	1124
35	1124
1	1124
1	1124
1	1124
8	1124
1	1124
3	1124
23	1124
24	1124
6	1124
4	1124
14	1124
15	1124
16	1124
2	1124
17	1124
19	1124
20	1124
22	1124
23	1124
25	1124
26	1124
27	1124
1	1124
2	1124
1	1124
27	1124
28	1124
29	1124
10	1124
1	1124
4	1124
12	1124
2	1124
2	1124
1	1124
2	1124
3	1124
26	1124
28	1124
29	1124
31	1124
32	1124
33	1124
34	1124
35	1124
36	1124
38	1124
39	1124
40	1124
4	1124
1	1003
3	1003
4	1003
15	1003
1	1003
2	1003
3	1003
11	1003
12	1003
5	1003
1	1003
1	1003
3	1003
1	1003
5	1003
5	1003
1	1003
3	1003
1	1003
2	1003
3	1003
2	1003
32	1003
9	1003
1	1003
1	1003
5	1003
6	1003
13	1003
14	1003
36	1003
2	1003
3	1003
4	1003
5	1003
1	1003
1	1003
3	1003
14	1003
3	1003
1	1003
5	1003
6	1003
1	1003
2	1003
4	1003
1	1003
8	1003
5	1003
1	1003
2	1003
4	1003
2	1003
33	1003
34	1003
39	1003
40	1003
43	1003
45	1003
46	1003
4	1003
5	1003
1	1003
6	1003
1	1003
1	1003
2	1003
7	1003
8	1003
31	1003
1	1003
3	1003
1	1003
2	1003
2	1003
43	1003
44	1003
47	1003
49	1003
50	1003
51	1003
5	1003
6	1003
49	1003
53	1003
54	1003
56	1003
57	1003
1	1003
11	1003
38	952
39	952
1	952
1	952
2	952
3	952
4	952
1	952
2	952
11	952
1	952
7	952
53	952
7	952
56	952
58	952
59	952
61	952
62	952
1	952
2	952
3	952
4	952
5	952
6	952
9	952
10	952
12	952
2	952
3	952
16	952
4	952
1	952
13	952
14	952
1	952
8	952
2	952
9	952
1	952
2	952
1	952
17	952
12	952
4	952
5	952
2	952
3	952
8	952
1	952
1	952
2	952
14	952
1	952
6	952
4	952
2	952
40	952
9	952
3	952
1	952
6	952
10	952
66	952
68	952
1	952
10	952
1	952
32	952
33	952
34	952
35	952
42	952
69	952
71	952
73	952
74	952
75	952
3	952
7	952
36	952
37	952
5	952
2	952
6	952
2	952
83	952
87	952
39	952
40	952
41	952
50	952
7	952
88	952
89	952
90	952
91	952
42	952
44	952
43	928
4	928
4	928
11	928
12	928
3	928
1	928
15	928
2	928
1	928
45	928
19	928
8	928
20	928
8	928
1	928
2	928
21	928
22	928
24	928
6	928
9	928
10	928
2	928
15	928
1	928
3	928
3	928
93	928
94	928
95	928
14	928
98	928
101	928
105	928
106	928
5	928
3	928
1	928
4	928
4	928
1	928
109	928
111	928
113	928
116	928
3	928
4	928
6	928
7	928
9	928
45	928
46	928
48	928
46	928
47	928
1	928
2	928
13	928
4	928
51	928
5	928
1	928
1	928
2	928
6	928
2	928
9	928
53	928
54	928
55	928
3	928
50	787
2	787
8	787
51	787
4	787
5	787
2	787
2	787
13	787
14	787
57	787
58	787
59	787
2	787
1	787
1	787
1	787
1	787
2	787
2	787
3	787
1	787
1	787
4	787
5	787
1	787
1	787
3	787
1	787
6	787
1	787
2	787
1	787
7	787
16	787
17	787
15	787
1	787
1	787
2	787
1	787
1	787
1	787
1	787
25	787
27	787
28	787
10	787
1	787
1	787
1	787
5	787
1	787
3	787
1	787
14	787
2	787
1	787
2	787
1	787
1	787
17	787
1	787
2	787
6	787
4	787
2	787
1	787
6	787
1	787
1	787
1	787
6	787
1	787
2	787
18	787
6	787
9	787
1	787
2	787
1	787
1	787
5	787
6	787
7	787
2	787
14	787
1	787
11	787
120	787
1	787
2	787
8	787
1	662
1	662
4	662
16	662
2	662
3	662
1	662
7	662
2	662
7	662
1	662
8	662
9	662
10	662
11	662
13	662
14	662
1	662
1	662
17	662
29	662
30	662
31	662
11	662
14	662
15	662
1	662
3	662
1	662
33	662
34	662
8	662
3	662
1	662
2	662
16	662
18	662
