,Temperature,Y,cosD,sinD,Continuous_urban_fabric,Discontinuous_urban_fabric,Industrial_or_commercial_units,Road_and_rail_networks_and_associated_land,Green_urban_areas,Sport_and_leisure_facilities,Non-irrigated_arable_land,Vineyards,Pastures,Complex_cultivation_patterns,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",Broad-leaved_forest,Coniferous_forest,Mixed_forest,Natural_grasslands,Transitional_woodland-shrub,Water_courses
Bellis,6.156829431686591e-06,-4.3952539317409945e-06,4.659847310639787e-07,3.5633342519729754e-06,-6.196988902298771e-06,-6.9373372769763255e-06,-1.0262370096703456e-05,8.291976190897109e-07,3.598828226204268e-06,-1.6450206796470437e-06,-4.455226024024458e-06,-2.9216293546302832e-06,-8.091613784740965e-06,6.06746121836471e-06,-5.619066544367867e-06,-2.606405567286779e-06,-5.96076508606316e-07,2.136534076281625e-06,-1.1319144604604182e-06,-1.3533029867872638e-05,-2.3065315071075494e-06
Leucanthemum,1.1834281793671583e-05,-7.886415043358682e-06,2.854155572951392e-07,7.2134707574784256e-06,-1.441366956977711e-05,-1.2488400027671683e-05,-1.4652768569706214e-05,2.6188727076482163e-06,5.0366992646584236e-06,-6.485014404685025e-06,-8.143952642251686e-06,-4.865400130284284e-06,-1.3610668333703711e-05,1.0349501346747019e-05,-8.15531909902659e-06,-4.581906619979905e-06,-5.698214583608568e-07,4.700693226722656e-06,-1.4945869008480271e-06,-2.1742541779132773e-05,5.333423260612976e-07
Malus,9.550941436714842e-06,-6.562718151515431e-06,1.0429911387621461e-06,5.1854718495806695e-06,-1.0420310125695725e-05,-1.0330891885243654e-05,-1.4083652189135446e-05,-1.2208722234724347e-06,4.7022810904404695e-06,-1.1670057384350229e-06,-7.991084037058594e-06,-4.43602391972783e-06,-1.207742451142339e-05,5.953444423656718e-06,-7.820386331211149e-06,-4.703533261634309e-06,-1.024619176546979e-06,4.674040476473026e-06,-2.2411690762971827e-06,-1.603667660932633e-05,-1.0427751880164585e-06
Philadelphus,1.0322501114037903e-05,-6.8793138354452e-06,5.98969724573278e-07,5.647252371978504e-06,-1.112518018131736e-05,-1.1017675605566742e-05,-1.4203401878556472e-05,8.154046848209971e-07,4.722658749722477e-06,-2.791510740240704e-06,-8.306277887850929e-06,-5.273663549655288e-06,-1.3252120276118923e-05,7.666935300024901e-06,-8.381243014593578e-06,-4.407430170781131e-06,-9.995108110392e-07,4.317030230227969e-06,-1.5076746955982727e-06,-1.844228531585984e-05,1.0284815060183166e-07
Rhododendron,6.110371898810425e-06,-4.2036784317487105e-06,7.951091974757927e-07,2.7566803180935817e-06,-7.225548893643465e-06,-7.126924241573662e-06,-9.17754970150354e-06,-2.3233381523193566e-06,2.9361395864033494e-06,-1.7247803349563887e-07,-5.190640370232006e-06,-2.0094469383974567e-06,-7.029154967652417e-06,2.242624741753592e-06,-4.7074501060725055e-06,-3.0708022281247505e-06,-8.832355351964496e-07,3.5694630595312695e-06,-1.9747223117525283e-06,-9.113948578768962e-06,9.001455594474334e-07
Trifolium,6.8260184532526025e-06,-4.6725050448599085e-06,6.632393384580541e-07,3.686417591462219e-06,-8.950983746135766e-06,-7.049568122830272e-06,-7.386180485647822e-06,-2.86316603129921e-08,3.123421614084568e-06,-2.8712200246868776e-06,-5.63468363440429e-06,-2.7359390464122983e-06,-7.89109588239532e-06,3.935596571026558e-06,-4.815041210835962e-06,-2.9148853904704548e-06,-5.270044294960536e-07,3.36832273647689e-06,-1.2071059919775593e-06,-9.855622185910196e-06,2.302725901369246e-06
Heracleum,1.1427579403716257e-05,-8.041889211069536e-06,3.69984207313185e-07,7.0385483220908445e-06,-1.2707339173776728e-05,-1.4199954100763636e-05,-2.0969524510315825e-05,7.399219992154408e-07,4.72745954349217e-06,-4.636231207661385e-06,-7.904458666962185e-06,-4.414132988636112e-06,-1.3825810691884317e-05,1.0259742279263813e-05,-9.240296674415355e-06,-5.631571510434183e-06,-1.4251605071352662e-06,5.225210318379467e-06,-2.829924896537093e-06,-2.5725242844838482e-05,-2.3152947180946506e-06
Sedum,8.493764213357018e-06,-5.941884567388549e-06,4.867382112906256e-07,5.099415956351504e-06,-1.0281046826444225e-05,-9.289749012674594e-06,-1.1923751369897294e-05,1.6157778539728047e-06,3.464574164248356e-06,-4.1845589711687815e-06,-7.266641842054935e-06,-4.62865877098526e-06,-1.1048970359561315e-05,6.803837103911622e-06,-6.9313128848064505e-06,-4.066800316730114e-06,-7.101575814879312e-07,4.049721659140701e-06,-1.282686719752704e-06,-1.597216790813367e-05,1.135748471933702e-06
Papaver,7.025796497621489e-06,-4.950445376216458e-06,8.450922843490456e-07,3.8828572185426205e-06,-8.345078131135851e-06,-7.510426765569893e-06,-8.54774709831938e-06,-1.491126057186509e-07,3.744971371629374e-06,-2.056123914525932e-06,-5.746004790618788e-06,-3.015016993041297e-06,-8.616844546513503e-06,4.551517611700003e-06,-5.620491788229081e-06,-2.9272588407742996e-06,-5.236052237515937e-07,3.2965896722006694e-06,-1.057465007296263e-06,-1.1197555166289254e-05,1.230104948494159e-06
Ribes,6.4427471330784e-06,-4.582332291592366e-06,9.230279763436972e-07,3.1113383366754596e-06,-6.76453297342701e-06,-7.346478414674666e-06,-1.0555684351969678e-05,-1.6478179842757132e-06,3.3481291471546565e-06,-1.5402486888930032e-07,-5.638684834879545e-06,-2.8597640725696574e-06,-8.43758805265849e-06,3.527489810541193e-06,-5.7136461615875875e-06,-3.3807804776490023e-06,-9.43075316289134e-07,3.4200339638505493e-06,-1.8044135421753075e-06,-1.1089511516804984e-05,-6.437830795152557e-07
Viola,3.8621721729968395e-06,-2.8449217853676595e-06,7.196362053211858e-07,1.9905432711669563e-06,-4.599998966575407e-06,-4.356278951921536e-06,-6.29045331027067e-06,-1.6265969486624543e-06,1.8970730236341228e-06,-7.285205540664516e-08,-3.479141928271086e-06,-1.2300313798855694e-06,-4.7716704016557976e-06,1.6504173999749587e-06,-3.112353618645243e-06,-2.453210359023643e-06,-6.129718316456516e-07,2.5854887981567357e-06,-1.6160880763607696e-06,-5.859145591389318e-06,-4.897519487859961e-07
Ajuga,6.087573995428103e-06,-4.697014074599791e-06,1.5163283090304528e-06,3.510378898319014e-06,-8.697138577090293e-06,-6.76486974280124e-06,-8.793649418808086e-06,-4.602530931043808e-06,2.865738989515236e-06,-4.161053681024418e-07,-5.174862411322467e-06,-4.5708256791677114e-07,-6.265494026993112e-06,1.2489572770630279e-06,-3.713629862521657e-06,-4.190291144279854e-06,-7.726912567154898e-07,4.8625619580343464e-06,-3.2459085221529436e-06,-6.551981603111016e-06,-1.788255194418299e-07
Rubus,9.295423129670848e-06,-6.421374236896844e-06,7.257711528003276e-07,5.248151681897753e-06,-1.2249002495831745e-05,-1.063544659292038e-05,-1.2696039870222094e-05,-9.833099109813043e-07,3.76209449331271e-06,-3.3833131130531847e-06,-7.667172995614151e-06,-3.5576378781368572e-06,-1.0739784517640645e-05,5.060442124052204e-06,-6.791806392432164e-06,-4.5004058786114626e-06,-1.1854565262439846e-06,5.162922961661155e-06,-2.454684348716143e-06,-1.5083877369955535e-05,2.6458517016391266e-06
Lavandula,7.649076790732465e-06,-5.334796142093351e-06,8.717513560076216e-07,3.620622826144465e-06,-1.0324156926537884e-05,-8.330207777878519e-06,-1.0562684598611177e-05,-1.9526741493117082e-06,2.9934461285786167e-06,-2.439706494725982e-06,-6.870395266223214e-06,-2.294795084954367e-06,-8.863994762377619e-06,3.2060285131239674e-06,-5.366730097125471e-06,-4.246866618999807e-06,-1.043582805501283e-06,5.023283079556935e-06,-2.8225257562704237e-06,-1.0715074979581656e-05,2.10076585896467e-06
Carduus,1.0133841666335016e-05,-7.013779183444893e-06,5.862267139779747e-07,5.861360354126674e-06,-1.3343535475986334e-05,-1.1145798909916948e-05,-1.3373448942767116e-05,6.156677941491092e-07,4.098470406474558e-06,-5.180760256721315e-06,-8.058655533543599e-06,-3.998640611022741e-06,-1.1841935888650681e-05,7.072148266037722e-06,-7.267416428794414e-06,-4.701029247287343e-06,-9.729814171657083e-07,5.15668295108211e-06,-2.250821590576125e-06,-1.743226462615584e-05,2.24288416041312e-06
