,Temperature,Y,cosD,sinD,Continuous_urban_fabric,Discontinuous_urban_fabric,Industrial_or_commercial_units,Road_and_rail_networks_and_associated_land,Green_urban_areas,Sport_and_leisure_facilities,Non-irrigated_arable_land,Vineyards,Pastures,Complex_cultivation_patterns,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",Broad-leaved_forest,Coniferous_forest,Mixed_forest,Natural_grasslands,Transitional_woodland-shrub,Water_courses
Bellis,5.627053315221631e-06,-4.737038212380796e-06,-5.007743697112008e-07,3.95607403076288e-06,-6.76255424510135e-06,-8.564386738794478e-06,-1.0040778991733277e-05,2.5392150614881574e-06,5.546474350327947e-06,-1.7203068118152812e-06,-5.461005704631345e-06,-2.1270462057885516e-06,-6.562576635435545e-06,3.972068870000386e-06,-2.8255364404974408e-06,-4.804359559673394e-06,-3.907711512079969e-06,3.1634416314243245e-06,-2.4607885009595537e-06,-1.1185213619094094e-05,-1.8079738245659334e-06
Leucanthemum,9.831613811084764e-06,-8.182101672605069e-06,-1.1291033748231126e-06,7.789725885930051e-06,-1.171871587513624e-05,-1.4888113052185657e-05,-1.7678172591887087e-05,5.858203647542114e-06,9.067674447222002e-06,-5.991413994768751e-06,-9.17187715013539e-06,-3.3949162415591746e-06,-1.0934800418788108e-05,9.006431767266622e-06,-5.064608647131117e-06,-8.384402797999493e-06,-5.571294582948523e-06,6.0031271667968935e-06,-3.884345258780043e-06,-1.911488984951094e-05,-2.600061526224482e-06
Malus,8.34947382155879e-06,-7.159119785052508e-06,-1.4304230740309683e-07,5.651988212093768e-06,-1.0648733911006488e-05,-1.2930308645471604e-05,-1.395631410909839e-05,-1.1738889672175583e-06,8.374029943745959e-06,-1.0445424297037842e-06,-9.120575495931404e-06,-3.6373315608317775e-06,-1.1442538890129413e-05,3.114123546088052e-06,-4.056942642921877e-06,-9.413888636052175e-06,-6.382835643273457e-06,4.742002804180502e-06,-5.009621446920012e-06,-1.2093197795576598e-05,-2.5393812544921322e-06
Philadelphus,8.820169162670657e-06,-7.381106992712515e-06,-4.261944440312899e-07,6.1005744909909795e-06,-1.088165819762183e-05,-1.3483620091882096e-05,-1.4936441850785251e-05,1.1045006557144694e-06,8.380024394192822e-06,-2.4568886542987768e-06,-9.26066460129454e-06,-3.4865263386034682e-06,-1.1289926391887441e-05,5.1128429687401836e-06,-4.7148315342068475e-06,-8.911934093369209e-06,-6.392649130315947e-06,4.6470495270883594e-06,-4.519985965141762e-06,-1.4417002291950735e-05,-2.692194365837307e-06
Rhododendron,5.186144869355759e-06,-4.699949255887581e-06,1.6840110193846554e-07,2.4172941443502863e-06,-6.904784300729716e-06,-7.93316361731892e-06,-8.84298303109037e-06,-2.4057809980690084e-06,5.455853666060444e-06,-2.455212091327806e-07,-5.429001777463767e-06,-1.479771370745891e-06,-6.90694072783635e-06,-4.897738547566309e-08,-1.1510836628344142e-06,-5.467885662328897e-06,-4.052191319168723e-06,3.396940244692183e-06,-3.357976378220131e-06,-6.885883994966789e-06,-7.230685867739192e-07
Trifolium,5.690645844830265e-06,-4.870138845371345e-06,-2.1472807714643509e-07,3.0433907745156886e-06,-6.738987502707213e-06,-8.316105947010576e-06,-9.465980270133248e-06,8.945334535584263e-07,5.743677144300467e-06,-6.549314812370739e-07,-6.059597827329678e-06,-2.2973488439506465e-06,-7.31891302831762e-06,2.1261667177011344e-06,-1.5724611096390866e-06,-5.786850179201898e-06,-3.371627569750607e-06,3.553785727135229e-06,-2.884913265235305e-06,-8.954343123661382e-06,-1.9146222246415593e-06
Heracleum,9.743100903732252e-06,-8.581787187512087e-06,-1.1336206224749135e-06,7.780101125104347e-06,-1.2376507453233273e-05,-1.5314576584288604e-05,-1.9571340630075764e-05,4.9717936292614664e-06,8.847550637806664e-06,-8.061626346124268e-06,-8.325709262706718e-06,-2.1243568202503317e-06,-9.743436258410017e-06,8.373271656558804e-06,-4.610255032150806e-06,-7.232610467531788e-06,-6.4383652304666935e-06,6.60366498241589e-06,-3.910916812916951e-06,-2.1076571720424078e-05,-7.724862335954848e-07
Sedum,7.157582858378124e-06,-6.193331874831896e-06,-7.217713271489808e-07,4.630620840239715e-06,-8.491921471180993e-06,-1.0869541312920678e-05,-1.3360084271572404e-05,3.119656311615861e-06,6.919892457010513e-06,-3.172736403674196e-07,-8.654038771888566e-06,-4.281681384910483e-06,-9.698206949175745e-06,3.6268288999773067e-06,-2.112995195600772e-06,-8.381774175530858e-06,-4.173474271243877e-06,4.796125727379729e-06,-3.364303105456525e-06,-1.3129935918318253e-05,-4.1800550252746765e-06
Papaver,5.93772957696732e-06,-5.211778912324237e-06,-2.2974861489821616e-07,3.3615425795179483e-06,-7.1418843056362415e-06,-8.908751637719989e-06,-1.0146061773400803e-05,6.207786186488904e-07,6.216944829910987e-06,9.253870616220046e-07,-7.072095695743031e-06,-3.3659409814398627e-06,-8.409000890459199e-06,1.6515009508540352e-06,-1.6144173686323282e-06,-7.005735298041573e-06,-3.802486634795126e-06,3.7834377335544674e-06,-3.1663285719407767e-06,-9.381125989407658e-06,-3.1845322929324105e-06
Ribes,5.800017711131897e-06,-5.116129243369617e-06,5.7163975648297495e-08,3.300261865764457e-06,-7.466952916202499e-06,-8.993380442194036e-06,-9.963850193811612e-06,-1.950661467511971e-06,5.8785293256448226e-06,5.951396465697907e-07,-6.892679980059624e-06,-2.802488344452015e-06,-8.403348487267149e-06,6.51694765377718e-07,-2.341767579551003e-06,-7.096117403675707e-06,-4.887939333937571e-06,3.2973871864384754e-06,-3.7540268713615303e-06,-8.18527390464662e-06,-2.112910725728322e-06
