,median_rank,median_score,plant,features,ecological_rank,land_use_rank,sign,zscore
0,1.0,3.920858792038795e-05,Cotoneaster,Cotoneaster,0,,1.0,19.21815804910646
1,1.5,3.9041539770010204e-05,Globularia,Continuous_urban_fabric,,0,0.0,19.136279105588038
2,3.0,3.3857090618411115e-05,Phyteuma,Industrial_or_commercial_units,,1,0.0,16.595112272564247
3,3.5,3.4912568157767734e-05,Alliaria,Alliaria,1,,1.0,17.11245643731265
4,4.0,3.112410141434758e-05,Verbascum,Verbascum,2,,1.0,15.255532826937655
5,4.5,2.858215484916861e-05,Phyteuma,Sport_and_leisure_facilities,,2,0.23333333333333334,14.009593265401175
6,6.0,2.706571236256017e-05,Chelidonium,Chelidonium,3,,1.0,13.266306324305628
7,6.0,2.6500296774848315e-05,Myosotis,Myosotis,4,,1.0,12.989166883575487
8,7.5,2.2746179833559735e-05,Crataegus,Crataegus,5,,1.0,11.149079888884295
9,10.0,1.802104772541668e-05,Philadelphus,Philadelphus,6,,1.0,8.833048109275582
10,10.0,1.8037150232343957e-05,Thymus,Thymus,7,,1.0,8.840940781252026
11,10.0,1.8057358855570693e-05,Genista,Genista,8,,1.0,8.850846073325153
12,11.5,1.5586184860344232e-05,Sambucus,Sambucus,9,,1.0,7.639595810920037
13,13.0,1.4183219243346639e-05,Leucanthemum,Leucanthemum,10,,1.0,6.951929756236598
14,13.5,1.3980947461441492e-05,Melilotus,Melilotus,11,,1.0,6.852785888025364
15,16.0,1.0320009419054413e-05,Stellaria,Continuous_urban_fabric,,3,0.0,5.058370693848049
16,17.5,9.286213496685072e-06,Caltha,Caltha,12,,0.8666666666666667,4.551653811644677
17,19.0,8.099290357254026e-06,Senecio,Senecio,13,,1.0,3.9698813557724186
18,19.5,7.60705578099803e-06,Erica,Erica,14,,0.9666666666666667,3.728611715995269
19,19.5,8.132089517026718e-06,Cardamine,Cardamine,15,,1.0,3.9859579213878233
20,21.0,6.352255574118196e-06,Sedum,Sedum,16,,0.9666666666666667,3.113569196615767
21,25.0,5.6681924760496594e-06,Crataegus,sinD,17,,1.0,2.778274470854767
22,26.0,5.213086939826357e-06,Alliaria,sinD,18,,1.0,2.5552036950869197
