,median_rank,median_score,plant,features,ecological_rank,land_use_rank,sign,zscore
0,0.0,2.492646763130324e-05,Alliaria,Alliaria,0,,1.0,13.135863794838661
1,1.0,-2.053967909887433e-05,Lavandula,Lavandula,1,,0.0,-10.824093931932758
2,2.0,-1.8785528482112568e-05,Borago,Borago,2,,0.0,-9.899683625657444
3,4.0,-1.4448222373175668e-05,Dipsacus,Dipsacus,3,,0.0,-7.613990236355576
4,4.5,-1.396271454723319e-05,Echium,Echium,4,,0.0,-7.358135104082462
5,7.0,-1.1688868198689306e-05,Wisteria,Wisteria,5,,0.0,-6.159853166719079
6,8.5,-1.1050278772017919e-05,Trifolium,Trifolium,6,,0.0,-5.823326393104148
7,8.5,1.1383322089386638e-05,Chelidonium,Chelidonium,7,,1.0,5.998835082078704
8,10.0,-1.0406407454865985e-05,Salvia,Salvia,8,,0.0,-5.484016144712208
9,11.0,-9.473415502725402e-06,Globularia,Globularia,9,,0.0,-4.99234378317758
10,11.0,-1.0027858934336109e-05,Rosmarinus,Rosmarinus,10,,0.0,-5.284526915874445
11,13.0,9.02676401892677e-06,Lathyrus,Lathyrus,11,,1.0,4.756965343611866
12,13.5,-9.170574685413158e-06,Lonicera,Lonicera,12,,0.0,-4.832751345670089
13,14.5,8.601483386883046e-06,Cardamine,Cardamine,13,,1.0,4.532849013141773
14,15.5,-8.358191735169385e-06,Phyteuma,Phyteuma,14,,0.0,-4.404638066985946
15,16.0,-8.685197371960385e-06,Syringa,Syringa,15,,0.0,-4.576964991465076
16,16.0,-8.656006230012281e-06,Nerium,Nerium,16,,0.0,-4.561581710114591
17,17.0,-8.346356480615214e-06,Helianthus,Helianthus,17,,0.0,-4.398401070468815
18,18.0,-8.046309631026816e-06,Veronica,Veronica,18,,0.0,-4.240281010837342
19,19.0,7.882068530307151e-06,Dipsacus,Temperature,19,,1.0,4.153728485205571
20,19.5,-7.697608452872373e-06,Rhododendron,Rhododendron,20,,0.16666666666666666,-4.0565208708492655
21,20.5,-7.753304998914246e-06,Malva,Malva,21,,0.0,-4.085872091145326
22,22.0,-7.321071961996495e-06,Viburnum,Temperature,22,,1.0,-3.8580919505910027
23,23.5,-7.212674063339364e-06,Malus,Malus,23,,0.0,-3.8009679307150925
24,25.5,6.743893436578219e-06,Alliaria,Sport_and_leisure_facilities,,0,1.0,3.5539277742887423
25,25.5,-6.8888032274116995e-06,Campanula,Campanula,24,,0.0,-3.6302929979170067
26,26.0,-7.079630904627265e-06,Papaver,Papaver,25,,0.0,-3.730856239097685
27,27.0,6.8683661993418355e-06,Verbascum,Temperature,26,,1.0,3.6195229994933276
28,30.5,-6.463080580942915e-06,Prunus,Temperature,27,,1.0,-3.4059437326657465
29,30.5,6.423943659683573e-06,Verbascum,Verbascum,28,,0.9666666666666667,3.3853191790941675
30,31.0,-6.52715038995666e-06,Crocus,Crocus,29,,0.0,-3.439707533337967
31,31.0,6.342299911921145e-06,Myosotis,Mixed_forest,,1,1.0,3.342294183889448
32,33.0,6.136812089607702e-06,Convolvulus,Temperature,30,,1.0,3.2340052724667316
33,35.0,-5.919235263718292e-06,Philadelphus,Discontinuous_urban_fabric,,2,0.0,-3.1193456427080655
34,35.5,-6.002905820423621e-06,Calystegia,Calystegia,31,,0.0,-3.163438734949473
35,36.0,5.894135256312438e-06,Buddleja,Temperature,32,,1.0,3.1061183261299763
36,37.0,-6.023249625286553e-06,Viola,Viola,33,,0.0,-3.174159606181651
37,37.5,-6.040423386366456e-06,Melilotus,Melilotus,34,,0.0,-3.1832099132579494
38,39.0,5.696627795259701e-06,Euphorbia,Euphorbia,35,,1.0,3.002034941944605
39,40.5,5.660607712343335e-06,Sambucus,Temperature,36,,1.0,2.9830529140830246
40,40.5,5.7028444189199945e-06,Phyteuma,Discontinuous_urban_fabric,,3,0.0,3.00531100668323
