,median_rank,median_score,plant,features,ecological_rank,land_use_rank,sign,zscore
0,0.0,2.3973566912004004e-05,Phyteuma,Sport_and_leisure_facilities,,0,1.0,21.19528882570814
1,1.0,1.611316025273419e-05,Verbascum,Green_urban_areas,,1,0.03333333333333333,13.449631331333935
2,2.0,1.2807971091256193e-05,Alliaria,Alliaria,0,,1.0,12.478707982883906
3,3.5,-1.0709426751175219e-05,Chelidonium,Natural_grasslands,,2,0.0,9.177919264318994
4,5.0,9.296077565759373e-06,Globularia,Globularia,1,,0.0,8.089813614542203
5,5.0,8.623189602890502e-06,Nerium,Nerium,2,,0.0,7.242984613207071
6,6.5,7.65308193315281e-06,Borago,Borago,3,,0.0,7.007852363688002
7,9.0,-6.675986934234225e-06,Globularia,Industrial_or_commercial_units,,3,0.0,6.241564901487747
8,9.0,6.6989963154487056e-06,Digitalis,Sport_and_leisure_facilities,,4,1.0,5.651895363962232
9,10.5,-5.987609325383261e-06,Phyteuma,Non-irrigated_arable_land,,5,0.5666666666666667,5.228600176816165
10,11.0,5.828381376793431e-06,Rosmarinus,Rosmarinus,4,,0.0,5.047046042781369
11,14.0,5.240382596447729e-06,Trifolium,Trifolium,5,,0.0,5.037493400821593
12,14.0,4.54683081124258e-06,Erica,Vineyards,,6,1.0,4.652446090504016
13,15.5,4.783766172087199e-06,Chelidonium,Coniferous_forest,,7,0.9333333333333333,4.301064730598179
14,16.0,4.623324635137774e-06,Philadelphus,Industrial_or_commercial_units,,8,0.0,4.743809355223047
15,16.5,4.516459068634122e-06,Phyteuma,Continuous_urban_fabric,,9,0.26666666666666666,-4.258463503029306
16,18.0,4.303332023551965e-06,Viola,Viola,6,,0.0,3.849797419343009
17,18.0,4.294888197031456e-06,Veronica,Veronica,7,,0.0,3.591773033319467
18,20.0,-3.678458805686035e-06,Philadelphus,Sport_and_leisure_facilities,,10,1.0,3.862660536920779
19,21.0,3.6720827133767503e-06,Phyteuma,Phyteuma,8,,0.0,4.067571061580621
20,22.5,3.5943878453630723e-06,Aquilegia,Sport_and_leisure_facilities,,11,1.0,3.7924567357787016
21,22.5,-3.699898337468105e-06,Phyteuma,Discontinuous_urban_fabric,,12,0.0,3.64494274837404
22,24.0,3.5096309251876056e-06,Lotus,Lotus,9,,0.2,3.464863710561271
23,31.0,3.110586857445589e-06,Lavandula,Lavandula,10,,0.0,3.6334336079666527
24,33.0,-2.7893566705746548e-06,Syringa,Syringa,11,,0.0,-2.937569525068248
25,35.5,2.6174241048883714e-06,Caltha,Industrial_or_commercial_units,,13,0.0,-3.326480919001891
26,37.5,2.698057052353397e-06,Euphorbia,Euphorbia,12,,1.0,3.6623593162791153
27,41.5,2.536821841031828e-06,Cardamine,Industrial_or_commercial_units,,14,0.0,3.340485693613081
28,42.0,-2.583293346212326e-06,Chelidonium,Chelidonium,13,,1.0,3.297195910873821
29,43.5,-2.520605716016257e-06,Digitalis,Water_courses,,15,0.0,3.179395605860985
30,44.0,2.487463965369341e-06,Pyrus,Pyrus,14,,1.0,-3.2178358148682094
31,44.5,2.4810116370220286e-06,Campanula,Campanula,15,,0.0,3.2603737978640557
32,46.0,-2.330639140475523e-06,Brassica,Industrial_or_commercial_units,,16,0.0,3.117183470173823
33,49.5,2.2344971926182844e-06,Phyteuma,cosD,16,,1.0,3.025532230470654
34,51.5,2.2060614956935943e-06,Cistus,Cistus,17,,1.0,3.099017121304833
35,52.5,-2.15356265721206e-06,Knautia,Continuous_urban_fabric,,17,0.26666666666666666,3.0630475816409386
36,52.5,1.9390047211746947e-06,Stellaria,Continuous_urban_fabric,,18,0.5,2.5126770270055125
37,53.5,2.376401552126819e-06,Papaver,Papaver,18,,0.0,-2.4897041570410554
38,55.5,2.0791195118503697e-06,Centaurea,Centaurea,19,,0.0,2.2551101949898236
39,56.5,-2.006434024672958e-06,Ribes,sinD,20,,0.03333333333333333,-2.3763544402165113
40,57.0,2.0771377224725836e-06,Globularia,Sport_and_leisure_facilities,,19,1.0,2.3122635160753675
41,59.0,2.0727496529685345e-06,Caltha,Transitional_woodland-shrub,,20,0.0,2.1920006419768954
42,60.0,2.103384893489989e-06,Taraxacum,Taraxacum,21,,0.0,-0.8200154008682358
43,60.0,2.0860230492402915e-06,Chaerophyllum,Chaerophyllum,22,,1.0,2.359748157312986
44,61.0,2.035170898130252e-06,Potentilla,Vineyards,,21,0.9666666666666667,2.0459188040557437
45,61.5,2.017222942848919e-06,Crocus,Crocus,23,,0.0,-2.1176532471203644
46,61.5,2.021806496047761e-06,Valeriana,Discontinuous_urban_fabric,,22,0.0,2.0333889274981853
47,61.5,2.073588262429074e-06,Iris,Industrial_or_commercial_units,,23,0.0,-1.9904296088779245
48,62.5,-1.90421538597538e-06,Plantago,Plantago,24,,0.7333333333333333,-0.14289711945843292
49,64.0,-2.022452865712012e-06,Phyteuma,Temperature,25,,1.0,1.977171106735189
50,65.0,-1.937284732737646e-06,Phyteuma,Road_and_rail_networks_and_associated_land,,24,0.6,1.78525054190406
51,68.0,-1.9553515879729535e-06,Nerium,Sport_and_leisure_facilities,,25,1.0,-1.881602769669335
52,68.0,1.7805759807936687e-06,Cardamine,Cardamine,26,,1.0,1.849086250202579
53,68.0,-2.0532866218994105e-06,Ribes,Transitional_woodland-shrub,,26,0.0,1.702709099281617
54,69.0,1.917882747128498e-06,Lonicera,Lonicera,27,,0.0,-1.8780880794917723
55,70.0,1.9368379064900093e-06,Convolvulus,Mixed_forest,,27,1.0,1.7721348652975426
56,73.5,1.8876912322171628e-06,Clematis,Industrial_or_commercial_units,,28,0.0,-1.5771303875783642
57,74.5,-1.7581656660206925e-06,Digitalis,Industrial_or_commercial_units,,29,0.0,-1.6142832921479233
58,75.0,1.8922653897390365e-06,Knautia,Knautia,28,,0.0,-1.585461957684038
59,75.5,1.2583921226065128e-06,Caltha,Continuous_urban_fabric,,30,0.3333333333333333,-1.674055469133398
60,76.0,1.8110617710360097e-06,Myosotis,Industrial_or_commercial_units,,31,0.0,1.607874901552942
61,77.5,-1.8186485191852363e-06,Myosotis,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,32,0.0,-1.5291557186155837
62,78.0,1.8231373511779763e-06,Cotoneaster,Mixed_forest,,33,1.0,1.570204668333504
63,78.5,1.8264136627114638e-06,Crataegus,Crataegus,29,,0.9333333333333333,1.618923000564883
64,80.5,1.724837701077496e-06,Syringa,Industrial_or_commercial_units,,34,0.0,0.9323787378156118
65,81.0,1.6854780323157126e-06,Philadelphus,Vineyards,,35,0.9666666666666667,1.4086948184758072
66,82.0,1.7836065125496522e-06,Ajuga,Ajuga,30,,1.0,1.5661416892430369
67,82.0,-1.7532551094477362e-06,Cistus,Sport_and_leisure_facilities,,36,1.0,1.440982059832353
68,82.5,-1.7289974694117973e-06,Philadelphus,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,37,0.0,1.4448166248358274
69,85.0,1.7505811979611729e-06,Pyrus,Discontinuous_urban_fabric,,38,0.0,1.3433297080988609
70,87.5,1.6977436980663216e-06,Aquilegia,Natural_grasslands,,39,0.0,-1.3959694802051312
71,88.0,1.7501282939431233e-06,Alliaria,sinD,31,,0.13333333333333333,-1.4305763340783988
72,88.5,-1.6889740045959156e-06,Erica,Y,32,,0.0,1.3816759659292432
73,93.0,-1.3413655886685016e-06,Digitalis,Digitalis,33,,0.6666666666666666,1.4122022720178893
