,median_rank,median_score,plant,features,ecological_rank,land_use_rank,sign,zscore
0,0.0,5.00493296202797e-05,Alliaria,Alliaria,0,,1.0,16.785242563474412
1,2.0,-2.873554274289341e-05,Borago,Borago,1,,0.0,-9.637153160531327
2,2.0,-2.8299467054314292e-05,Lavandula,Lavandula,2,,0.0,-9.490904723951495
3,3.0,-2.3311243132415914e-05,Dipsacus,Dipsacus,3,,0.0,-7.817984244791598
4,5.5,2.166160315580003e-05,Chelidonium,Chelidonium,4,,1.0,7.264737930405756
5,8.0,-1.8917602009050597e-05,Globularia,Globularia,5,,0.0,-6.344471361560878
6,8.5,1.823354110974857e-05,Cardamine,Cardamine,6,,1.0,6.1150551394039185
7,8.5,-1.7725245427499196e-05,Wisteria,Wisteria,7,,0.0,-5.944585996555192
8,8.5,-1.8017137171032766e-05,Nerium,Nerium,8,,0.0,-6.042478890519174
9,8.5,1.9117900343863124e-05,Lathyrus,Lathyrus,9,,1.0,6.411646210063264
10,8.5,-1.8687872128625884e-05,Echium,Echium,10,,0.0,-6.267425938649872
11,11.0,-1.6866887705913044e-05,Trifolium,Trifolium,11,,0.0,-5.6567151564787075
12,14.0,-1.589917910718357e-05,Syringa,Syringa,12,,0.0,-5.332170878190263
13,14.0,-1.5040115681161744e-05,Veronica,Veronica,13,,0.0,-5.04406336321282
14,18.5,1.366796029447538e-05,Euphorbia,Euphorbia,14,,1.0,4.583878158434848
15,18.5,-1.334544560050645e-05,Melilotus,Melilotus,15,,0.0,-4.475715123892229
16,19.0,-1.3614780667402385e-05,Lonicera,Lonicera,16,,0.0,-4.566043095575312
17,19.5,-1.3631534130099019e-05,Malva,Malva,17,,0.0,-4.571661770935694
18,20.0,-1.3260678754629178e-05,Salvia,Salvia,18,,0.0,-4.447286529939311
19,20.5,-1.2580788606435926e-05,Rosmarinus,Rosmarinus,19,,0.0,-4.219269069155658
20,20.5,1.2489884892614653e-05,Alliaria,Sport_and_leisure_facilities,,0,1.0,4.188782329413344
21,22.0,-1.2268111486405979e-05,Helianthus,Helianthus,20,,0.0,-4.114405300878037
22,23.5,-1.145317608380141e-05,Calystegia,Calystegia,21,,0.0,-3.8410971764723554
23,24.0,-1.1092017039926102e-05,Campanula,Campanula,22,,0.0,-3.7199738327346368
24,25.5,-1.110409756825726e-05,Phyteuma,Phyteuma,23,,0.0,-3.7240253275273107
25,25.5,1.1239589428646249e-05,Verbascum,Verbascum,24,,0.9666666666666667,3.7694657711708173
26,27.0,-1.0992716299903271e-05,Papaver,Papaver,25,,0.0,-3.686670948946552
27,29.5,-1.0317107281498063e-05,Ligustrum,Ligustrum,26,,0.0,-3.4600892676724984
28,30.0,-9.842338639301415e-06,Taraxacum,Taraxacum,27,,0.0,-3.3008642214778114
29,31.0,9.521820804447382e-06,Vicia,Vicia,28,,1.0,3.1933708815117825
30,31.0,-9.47653787242473e-06,Centaurea,Centaurea,29,,0.0,-3.178184164651592
31,31.5,-9.560575090398713e-06,Prunus,Prunus,30,,0.0,-3.2063680603951488
32,34.0,-9.46785764731186e-06,Malus,Malus,31,,0.0,-3.1752730430615426
33,34.5,-9.168031448299386e-06,Crocus,Crocus,32,,0.0,-3.074719139233234
34,34.5,-8.774949266773484e-06,Rubus,Rubus,33,,0.0,-2.9428896059637517
35,35.0,8.851773859775065e-06,Ajuga,Ajuga,34,,1.0,2.968654575008397
36,35.5,9.361900881935336e-06,Myosotis,Mixed_forest,,1,1.0,3.1397379016005176
37,38.0,8.707670148821504e-06,Iris,Iris,35,,1.0,2.9203259408188145
38,38.0,8.326159598373723e-06,Dipsacus,Temperature,36,,1.0,2.792377231447972
39,38.5,8.72311161460446e-06,Genista,Genista,37,,1.0,2.9255046065605725
40,41.0,7.599869466909797e-06,Sambucus,Sambucus,38,,1.0,2.5487984238880803
41,42.5,8.302689066475726e-06,Chaerophyllum,Chaerophyllum,39,,1.0,2.7845058258968773
42,43.0,-7.863831030741976e-06,Viburnum,Temperature,40,,1.0,-2.6373242624951545
43,44.5,7.4894311008221365e-06,Phyteuma,Discontinuous_urban_fabric,,2,0.0,2.511760270187335
44,46.5,7.472392635020381e-06,Cistus,Cistus,41,,1.0,2.5060460122030275
45,46.5,7.554007851755287e-06,Verbascum,Temperature,42,,1.0,2.533417631766356
46,47.0,-7.4818510058151976e-06,Viola,Viola,43,,0.0,-2.5092181036026684
47,47.5,-7.177193962332566e-06,Philadelphus,Discontinuous_urban_fabric,,3,0.0,-2.407044060267333
48,48.0,6.943440331285004e-06,Caltha,Discontinuous_urban_fabric,,4,0.0,2.328649176120145
49,50.0,7.129404646601086e-06,Phyteuma,Mixed_forest,,5,1.0,2.3910167675427103
50,53.5,6.757937033341956e-06,Convolvulus,Temperature,44,,1.0,2.2664361979259904
51,55.0,-6.60358577648268e-06,Prunus,Temperature,45,,1.0,-2.214670803543759
52,55.5,6.803635287487777e-06,Sedum,Sedum,46,,1.0,2.281762203017058
53,56.0,-6.169163967579716e-06,Cotoneaster,Discontinuous_urban_fabric,,6,0.0,-2.068977035163194
54,56.5,6.2606766429755175e-06,Caltha,Caltha,47,,0.9,2.0996680047686813
55,58.5,6.286774964122113e-06,Cistus,Vineyards,,7,1.0,2.108420702442529
56,61.0,-5.649979130981007e-06,Aquilegia,Aquilegia,48,,0.2,-1.894855953348423
57,64.5,-6.096857417097082e-06,Borago,Industrial_or_commercial_units,,8,0.0,-2.044727299992169
58,64.5,-5.985881883440427e-06,Rhododendron,Rhododendron,49,,0.16666666666666666,-2.007508994269185
59,65.5,-5.869095061617281e-06,Crocus,Temperature,50,,1.0,-1.9683417337405948
60,66.5,5.909009150141955e-06,Potentilla,Potentilla,51,,1.0,1.9817278802218692
61,66.5,-5.922901940157752e-06,Taraxacum,Temperature,52,,1.0,-1.986387160417384
62,67.0,-5.725427442729161e-06,Aquilegia,Industrial_or_commercial_units,,9,0.0,-1.9201593534799657
63,69.0,5.595481471797584e-06,Buddleja,Temperature,53,,1.0,1.8765788568223458
64,69.0,-5.629271935656323e-06,Knautia,Knautia,54,,0.0,-1.8879112989650157
65,69.5,5.660503321824899e-06,Medicago,Medicago,55,,1.0,1.8983854930533355
66,70.5,5.553140482947919e-06,Carduus,Temperature,56,,1.0,1.862378791134932
67,70.5,-5.308481316442605e-06,Thymus,Thymus,57,,0.0,-1.780326474224274
68,71.5,5.560370519022567e-06,Melilotus,Sport_and_leisure_facilities,,10,1.0,1.8648035570643935
69,71.5,5.556630994458914e-06,Verbascum,Mixed_forest,,11,1.0,1.863549417851157
70,72.5,5.5274542674288725e-06,Valeriana,Mixed_forest,,12,1.0,1.8537643029630428
71,73.0,5.557999217104154e-06,Lavandula,Temperature,58,,1.0,1.864008284116808
72,75.0,5.656805933222609e-06,Leucanthemum,Leucanthemum,59,,1.0,1.8971454851449034
73,75.5,5.362928982714211e-06,Dianthus,Dianthus,60,,1.0,1.7985868044288507
74,76.5,-5.3677567500817045e-06,Euphorbia,Temperature,61,,1.0,-1.800205911955729
75,77.5,5.413189591962366e-06,Wisteria,Vineyards,,13,1.0,1.8154429046807201
76,78.0,-5.327947311297734e-06,Bellis,Temperature,62,,1.0,-1.7868548622738574
77,81.0,-5.282342119851968e-06,Bellis,Bellis,63,,0.0,-1.7715600679903252
78,82.5,-5.096938838265002e-06,Erica,Temperature,64,,1.0,-1.70938063267896
79,83.0,5.110617280389386e-06,Melilotus,Temperature,65,,1.0,1.7139680261703445
80,83.0,5.195801367256755e-06,Hypericum,Temperature,66,,1.0,1.7425365518921656
81,83.5,5.094279049836056e-06,Heracleum,Temperature,67,,1.0,1.7084886088639337
82,83.5,-5.174072425252824e-06,Cistus,Industrial_or_commercial_units,,14,0.0,-1.7352492302646674
83,83.5,5.411988003315408e-06,Digitalis,Mixed_forest,,15,1.0,1.8150399231212522
84,83.5,5.16069393447676e-06,Sambucus,Temperature,68,,1.0,1.7307624326489317
85,83.5,5.156441106327718e-06,Crataegus,Sport_and_leisure_facilities,,16,1.0,1.72933614477247
86,88.0,4.700660195084708e-06,Lamium,Lamium,69,,0.8333333333333334,1.5764790893621727
87,89.5,4.848297338945608e-06,Daucus,Temperature,70,,1.0,1.6259927449872356
88,90.0,4.905189486978735e-06,Sedum,Temperature,71,,1.0,1.6450728907541867
89,90.5,4.983843139279969e-06,Phyteuma,Industrial_or_commercial_units,,17,0.0,1.6714512786845708
90,91.0,4.873006445701161e-06,Foeniculum,Temperature,72,,1.0,1.6342795363102243
91,91.0,4.755066651036328e-06,Foeniculum,Foeniculum,73,,0.9666666666666667,1.5947255986979723
92,94.0,-4.9839668565085434e-06,Cistus,Transitional_woodland-shrub,,18,0.0,-1.671492770223152
93,96.5,4.6620182790696095e-06,Clematis,Temperature,74,,1.0,1.5635195964308626
94,97.5,-4.720029929122673e-06,Alliaria,Temperature,75,,1.0,-1.5829751940389776
95,98.5,-4.671273066113547e-06,Rosmarinus,Temperature,76,,1.0,-1.566623411138959
96,99.0,4.667076772729034e-06,Rubus,Temperature,77,,1.0,1.5652160835511384
97,99.5,-4.676966441057491e-06,Valeriana,Valeriana,78,,0.0,-1.5685328209185494
98,100.0,4.809093571831496e-06,Sedum,Mixed_forest,,19,1.0,1.6128448218201348
99,102.0,-4.456488709418651e-06,Stellaria,Stellaria,79,,0.06666666666666667,-1.494590327912549
100,102.0,-4.6572487631935615e-06,Calystegia,Industrial_or_commercial_units,,20,0.0,-1.5619200249381533
101,102.5,-4.691488650086851e-06,Cardamine,Temperature,80,,1.0,-1.5734031918698623
102,103.0,4.539387274039975e-06,Chaerophyllum,Industrial_or_commercial_units,,21,0.0,1.5223923489563826
103,103.5,-4.577867870890033e-06,Malva,Industrial_or_commercial_units,,22,0.0,-1.5352977396382543
104,105.0,4.558543821527503e-06,Verbascum,Sport_and_leisure_facilities,,23,1.0,1.5288169564125949
105,105.0,4.3986145284744595e-06,Ribes,Ribes,81,,0.8666666666666667,1.4751808338657586
106,105.5,-4.415334195518882e-06,Helianthus,Industrial_or_commercial_units,,24,0.0,-1.4807881750439598
107,105.5,-4.699044160405825e-06,Crataegus,Temperature,82,,1.0,-1.5759371133900302
108,106.5,4.5374775513490535e-06,Aquilegia,Mixed_forest,,25,1.0,1.5217518776685695
109,108.0,-4.568544942707833e-06,Pyrus,Temperature,83,,1.0,-1.5321710721658361
110,108.0,4.394888992102189e-06,Knautia,Temperature,84,,1.0,1.4739313859278533
111,108.5,-4.3772798050748065e-06,Clematis,Clematis,85,,0.03333333333333333,-1.4680257228981444
112,109.5,4.537876566928429e-06,Crataegus,Crataegus,86,,0.9333333333333333,1.521885697109054
113,113.5,-4.3211711218971595e-06,Malus,Temperature,87,,1.0,-1.44920833085315
114,114.0,4.383263082314542e-06,Calystegia,Temperature,88,,1.0,1.4700323583627037
115,115.0,4.304202762317627e-06,Angelica,Industrial_or_commercial_units,,26,0.0,1.4435175846711814
116,115.5,-4.216082474250374e-06,Senecio,Senecio,89,,0.0,-1.4139643334849208
117,119.0,-4.026987605504309e-06,Myosotis,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,27,0.0,-1.3505468359181807
118,119.0,4.243628178817535e-06,Scabiosa,Discontinuous_urban_fabric,,28,0.0,1.4232024458882135
119,119.5,-4.338567702929676e-06,Scabiosa,Scabiosa,90,,0.0,-1.4550426913654957
120,120.5,4.2157848765428136e-06,Helianthus,Temperature,91,,1.0,1.4138645269591263
121,123.0,4.086651677081977e-06,Cardamine,Industrial_or_commercial_units,,29,0.0,1.3705566126994837
122,124.0,-4.01308459398438e-06,Philadelphus,Philadelphus,92,,0.26666666666666666,-1.3458841276962064
123,125.0,4.230206878101188e-06,Pyrus,Pyrus,93,,1.0,1.4187012909326846
124,125.0,-4.133489710706505e-06,Verbascum,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,30,0.0,-1.3862648701636417
125,125.5,4.10892711997565e-06,Galium,Discontinuous_urban_fabric,,31,0.0,1.3780272165020895
126,125.5,-4.027718348943138e-06,Ribes,Temperature,94,,1.0,-1.3507919082491282
127,126.5,4.092985413925921e-06,Lathyrus,Temperature,95,,1.0,1.3726807831941819
128,128.0,-4.015725683519669e-06,Brassica,Temperature,96,,1.0,-1.3467698803889598
129,128.5,-4.015110836071969e-06,Viola,Temperature,97,,1.0,-1.3465636765571107
130,129.0,3.972441942041881e-06,Syringa,Vineyards,,32,1.0,1.3322536400062914
131,129.0,4.027452273080221e-06,Centaurea,Temperature,98,,1.0,1.3507026733296352
132,129.5,3.8368279302084e-06,Galium,Sport_and_leisure_facilities,,33,1.0,1.286772229947434
133,133.0,3.977439750974856e-06,Crocus,Industrial_or_commercial_units,,34,0.0,1.3339297750487054
134,133.0,4.042833911999263e-06,Caltha,Industrial_or_commercial_units,,35,0.0,1.3558612746982994
135,135.5,3.881952567421986e-06,Medicago,Temperature,99,,1.0,1.3019058588484673
136,138.0,3.8099099516977162e-06,Echium,Temperature,100,,1.0,1.2777446405261932
137,139.0,-3.824461682697365e-06,Chelidonium,Discontinuous_urban_fabric,,36,0.0,-1.2826249123779976
138,139.5,3.834311416417428e-06,Ligustrum,Temperature,101,,1.0,1.2859282567170975
139,142.5,-3.8293881315011855e-06,Clematis,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,37,0.0,-1.2842771150903225
140,142.5,3.762926525570947e-06,Angelica,Temperature,102,,1.0,1.26198762220079
141,144.0,3.685498523119309e-06,Sambucus,Vineyards,,38,1.0,1.2360202853310185
142,144.0,3.827159674686412e-06,Calystegia,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,39,0.0,1.2835297486727903
143,144.5,-3.765380556839207e-06,Veronica,Temperature,103,,1.0,-1.262810640419188
144,149.5,3.7089671136268493e-06,Nerium,Temperature,104,,1.0,1.243891039790281
145,150.5,-3.549358703483998e-06,Alliaria,Y,105,,0.0,-1.1903625330201777
146,155.5,-3.448777847991579e-06,Phyteuma,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,40,0.0,-1.1566303318200652
147,156.0,-3.637211192129936e-06,Melilotus,Industrial_or_commercial_units,,41,0.0,-1.2198259712503163
