,median_rank,median_score,plant,features,ecological_rank,land_use_rank,sign,zscore
0,0.0,-3.4204389521619305e-05,Phyteuma,Phyteuma,0,,0.0,-13.28712498872067
1,1.0,-2.839184435288189e-05,Digitalis,Digitalis,1,,0.0,-11.029168766149207
2,3.0,2.2716416424373165e-05,Cotoneaster,Cotoneaster,2,,1.0,8.824477458827156
3,5.0,-2.12693412322551e-05,Valeriana,Valeriana,3,,0.0,-8.262342913680643
4,5.0,2.047997168119764e-05,Verbascum,Verbascum,4,,1.0,7.955702390815544
5,6.0,-2.072637198580196e-05,Crocus,Crocus,5,,0.0,-8.051419685885731
6,6.5,2.006138220167486e-05,Alliaria,Alliaria,6,,1.0,7.793096046683389
7,8.0,-1.6953809790720697e-05,Silene,Silene,7,,0.0,-6.5859204878344375
8,10.5,-1.6832193068694323e-05,Pyrus,Pyrus,8,,0.0,-6.5386769436904455
9,11.0,1.60423296620138e-05,Myosotis,Myosotis,9,,1.0,6.231844576401817
10,11.5,1.5383079698949587e-05,Chelidonium,Chelidonium,10,,1.0,5.975750642829135
11,12.0,-1.4703469787491485e-05,Campanula,Campanula,11,,0.0,-5.711747631420041
12,12.0,-1.4260278476285748e-05,Stellaria,Stellaria,12,,0.0,-5.539584396576057
13,12.5,-1.569136838952545e-05,Malus,Malus,13,,0.0,-6.0955092592400915
14,16.0,1.2533881545095937e-05,Crataegus,Crataegus,14,,1.0,4.8689438113855505
15,17.5,-1.3551914435083745e-05,Rhododendron,Rhododendron,15,,0.0,-5.264411482087487
16,18.5,-1.3225317616161192e-05,Syringa,Syringa,16,,0.03333333333333333,-5.137540843124623
17,21.0,1.1336237093928503e-05,Genista,Genista,17,,1.0,4.4037037723943175
18,22.0,1.1610293313424336e-05,Thymus,Thymus,18,,1.0,4.510164355182261
19,24.5,-1.111053506974713e-05,Globularia,Globularia,19,,0.03333333333333333,-4.316026984489372
20,25.0,-1.0377892067481298e-05,Veronica,Veronica,20,,0.0,-4.031422602438796
21,25.5,-1.0978124464600114e-05,Ajuga,Ajuga,21,,0.0,-4.264590420790186
22,26.0,1.0497362836758839e-05,Leucanthemum,Leucanthemum,22,,1.0,4.0778325242672775
23,26.5,-1.0452460628584959e-05,Vicia,Vicia,23,,0.0,-4.06038969717344
24,26.5,1.0027369171439204e-05,Sambucus,Sambucus,24,,1.0,3.895257578117112
25,27.0,-1.0611499874357833e-05,Viola,Viola,25,,0.0,-4.122170490991157
26,28.5,-1.0387355359853245e-05,Dipsacus,Dipsacus,26,,0.0,-4.035098737294861
27,29.0,-1.0387072507000994e-05,Centaurea,Centaurea,27,,0.0,-4.034988859549524
28,29.5,9.551638868288137e-06,Melilotus,Melilotus,28,,1.0,3.7104541629035506
29,31.0,-9.266169854527107e-06,Lavandula,Lavandula,29,,0.0,-3.599560136747867
30,32.0,-9.340034466731595e-06,Borago,Borago,30,,0.0,-3.628253773685433
31,32.0,-1.0139422101929085e-05,Aquilegia,Aquilegia,31,,0.0,-3.9387859472415023
32,32.0,-9.35656544243102e-06,Rubus,Rubus,32,,0.0,-3.6346754389563456
33,32.5,9.34297167987097e-06,Philadelphus,Philadelphus,33,,1.0,3.6293947710441703
34,33.0,-9.20352567845839e-06,Ranunculus,Ranunculus,34,,0.0,-3.5752252192451195
35,33.5,-8.70124631546787e-06,Echium,Echium,35,,0.0,-3.380108488069673
36,35.0,-8.891059678717284e-06,Papaver,Papaver,36,,0.0,-3.453843874588713
37,35.0,-8.615047136117937e-06,Dianthus,Dianthus,37,,0.03333333333333333,-3.34662333350424
38,35.0,-8.871008503774647e-06,Lotus,Lotus,38,,0.0,-3.4460547436800875
39,37.0,-8.096968031168217e-06,Lamium,Lamium,39,,0.0,-3.14536899399438
40,37.5,-8.102546871668892e-06,Trifolium,Trifolium,40,,0.0,-3.147536164701454
41,40.0,-8.13801898402744e-06,Cistus,Transitional_woodland-shrub,,0,0.0,-3.1613157525588567
42,40.0,-8.220495146815665e-06,Taraxacum,Taraxacum,41,,0.0,-3.1933546545502094
