,median_rank,median_score,plant,features,ecological_rank,land_use_rank,sign,zscore
0,0.0,3.0271809189448604e-05,Phyteuma,Sport_and_leisure_facilities,,0,0.23333333333333334,21.19528882570814
1,1.0,1.9209206190987948e-05,Digitalis,Digitalis,0,,0.0,13.449631331333935
2,2.0,1.782250150469888e-05,Viola,Viola,1,,0.0,12.478707982883906
3,4.0,1.31082064042761e-05,Crocus,Crocus,2,,0.0,9.177919264318994
4,5.0,1.1554138097924368e-05,Silene,Silene,3,,0.0,8.089813614542203
5,6.0,1.0344669043017449e-05,Stellaria,Continuous_urban_fabric,,1,0.0,7.242984613207071
6,7.0,1.0008845424370003e-05,Nerium,Nerium,4,,0.0,7.007852363688002
7,8.0,8.914408446853708e-06,Ajuga,Ajuga,5,,0.0,6.241564901487747
8,10.0,8.072223003117183e-06,Phyteuma,Phyteuma,6,,0.0,5.651895363962232
9,11.0,7.46765888316259e-06,Cotoneaster,Cotoneaster,7,,1.0,5.228600176816165
10,12.0,7.208357292688825e-06,Alliaria,Alliaria,8,,1.0,5.047046042781369
11,13.5,7.194713894996094e-06,Crataegus,Crataegus,9,,1.0,5.037493400821593
12,14.0,6.6447766517391764e-06,Veronica,Veronica,10,,0.0,4.652446090504016
13,16.0,6.142922227047556e-06,Campanula,Campanula,11,,0.0,4.301064730598179
14,16.0,6.77526467382949e-06,Rhododendron,Rhododendron,12,,0.0,4.743809355223047
15,16.5,-6.082077751522552e-06,Chelidonium,Chelidonium,13,,1.0,-4.258463503029306
16,20.5,5.498407398677643e-06,Globularia,Globularia,14,,0.03333333333333333,3.849797419343009
17,21.0,5.129888477130542e-06,Aquilegia,Aquilegia,15,,0.0,3.591773033319467
18,21.5,5.516778926619428e-06,Rosmarinus,Rosmarinus,16,,0.0,3.862660536920779
19,22.0,5.809438883009773e-06,Crataegus,sinD,17,,1.0,4.067571061580621
20,22.0,5.416511546919026e-06,Lotus,Lotus,18,,0.0,3.7924567357787016
21,23.0,5.2058272143671465e-06,Alliaria,sinD,19,,1.0,3.64494274837404
22,23.5,4.94863240487365e-06,Lamium,Lamium,20,,0.0,3.464863710561271
23,23.5,5.1893894811891764e-06,Borago,Borago,21,,0.0,3.6334336079666527
24,25.0,-4.195533492128958e-06,Verbascum,Green_urban_areas,,2,1.0,-2.937569525068248
25,25.0,-4.750989546800975e-06,Ribes,Transitional_woodland-shrub,,3,0.0,-3.326480919001891
26,26.0,5.230702129953011e-06,Stellaria,Stellaria,22,,0.0,3.6623593162791153
27,26.5,4.770991626897989e-06,Cardamine,Continuous_urban_fabric,,4,0.0,3.340485693613081
28,26.5,4.709163734213362e-06,Trifolium,Trifolium,23,,0.0,3.297195910873821
29,27.0,4.5409174609433264e-06,Bellis,Bellis,24,,0.0,3.179395605860985
30,27.5,-4.595819032789699e-06,Digitalis,Water_courses,,5,0.06666666666666667,-3.2178358148682094
31,27.5,4.656573180333675e-06,Galium,Continuous_urban_fabric,,6,0.0,3.2603737978640557
32,27.5,4.452064040908512e-06,Caltha,Continuous_urban_fabric,,7,0.0,3.117183470173823
33,28.0,4.321164723466536e-06,Sambucus,Sambucus,25,,1.0,3.025532230470654
34,30.0,4.42611826346933e-06,Leucanthemum,Leucanthemum,26,,1.0,3.099017121304833
35,30.0,4.3747453829065034e-06,Philadelphus,Industrial_or_commercial_units,,8,0.0,3.0630475816409386
36,34.5,3.5886880401442504e-06,Pyrus,Continuous_urban_fabric,,9,0.0,2.5126770270055125
37,38.0,-3.5558774310595296e-06,Cotoneaster,Transitional_woodland-shrub,,10,0.0,-2.4897041570410554
38,40.0,3.2208226122925398e-06,Wisteria,Wisteria,27,,0.13333333333333333,2.2551101949898236
39,40.5,-3.3939876343407066e-06,Phyteuma,Discontinuous_urban_fabric,,11,0.0,-2.3763544402165113
40,44.0,3.302450866791547e-06,Lavandula,Lavandula,28,,0.0,2.3122635160753675
41,44.5,3.1306874712926426e-06,Prunus,sinD,29,,1.0,2.1920006419768954
42,46.0,-1.1711729880927011e-06,Phyteuma,Continuous_urban_fabric,,12,0.0,-0.8200154008682358
43,46.0,3.3702699944663305e-06,Papaver,Papaver,30,,0.0,2.359748157312986
44,46.0,2.9220485817753952e-06,Verbascum,Verbascum,31,,1.0,2.0459188040557437
45,47.5,-3.0245020746539485e-06,Globularia,Industrial_or_commercial_units,,13,0.0,-2.1176532471203644
46,51.0,2.9041529996280228e-06,Lathyrus,Lathyrus,32,,0.4,2.0333889274981853
47,52.5,-2.842797086676088e-06,Calystegia,Y,33,,0.0,-1.9904296088779245
48,53.0,-2.0409036977692613e-07,Erica,Vineyards,,14,0.8,-0.14289711945843292
49,53.5,2.823860857483685e-06,Phyteuma,Complex_cultivation_patterns,,15,1.0,1.977171106735189
